"date","user_id","wellbeing","meditated","sleep_time","did_sport","steps","sweets","walk","gratitude"
"2024-12-22","e0e084c5-2308-4080-b217-90d5875fa312","5","false","10.5","true","0","null","null","Eingerollter Vusko, Luca Kuschelbedürfnis, Kindervideos gucken und tanzen"
"2024-12-23","e0e084c5-2308-4080-b217-90d5875fa312","7","false","11","true","0","null","null","50 push-ups, Selbstgespräche"
"2024-12-24","a41f22a9-1bab-4495-bc82-949f217439ab","7","true","8.5","false","8500","null","null","Meditation is awesome. Improves quality of life. Enjoyed going to church. Going inward, observing, feeling.
Christmas. Thank you.
Grateful to have such good parents, enjoyed the evening with them.
Walking, church, playing cards and the presents. Enjoyed giving to others. Enjoyed talking to jeelka. 
It is nice to have people how care about me. 
Enjoyed playing video games. Enjoyed my morning walk with podcast.
Different habits here.
Enjoyed sleeping how I want to."
"2024-12-27","e0e084c5-2308-4080-b217-90d5875fa312","7","true","8","true","69","true","false","Jendriks Bioladen sehen: entspannte Atmosphäre, Luca 1000 Küsse"
"2024-12-21","a41f22a9-1bab-4495-bc82-949f217439ab","6","false","8.5","false","11000","null","null","I am grateful for the sauna trip with my dad. For my awesome girlfriend jeelka. And for the nature I saw on my morning walk."
"2024-12-22","a41f22a9-1bab-4495-bc82-949f217439ab","7","true","8","true","7000","null","null","I am grateful for going to the gym with my dad. It was a nice experience being together also going to the gym again was nice. Grateful for the food my mother makes me. Tasty."
"2024-12-27","a41f22a9-1bab-4495-bc82-949f217439ab","6","true","9","false","8700","true","true","Thank you for being alive. For being able to experience this day. To make choices, to move. To have the freeedom to play video games. To be able to choose.
To have an intuition that tells me what to do."
"2024-12-23","a41f22a9-1bab-4495-bc82-949f217439ab","6","true","8","false","17000","null","null","Grateful for the opportunity to learn web dev from group up, to do things in a basic way.
I am grateful for my awesome girlfriend and her love.
For having a home I can come back to.
For having friends I can rely on."
"2024-12-25","e0e084c5-2308-4080-b217-90d5875fa312","7","false","8","true","3","true","false","Ruhe und Coden, Pygmalion"
"2024-12-25","a41f22a9-1bab-4495-bc82-949f217439ab","6","true","8","false","14000","true","true","I have an awesome girlfriend, who wants to work with my on this tracker right here. Enjoyed talking to Mike, got new ideas, invite to Uni, build meditation app, go with the flow. I live a good life."
"2024-12-26","e0e084c5-2308-4080-b217-90d5875fa312","4","true","7","true","34","true","false","So viele Verwandte, mit denen ich reden kann. Eltern, mit denen ich analysieren kann, was gerade bei mir abgeht"
"2024-12-26","a41f22a9-1bab-4495-bc82-949f217439ab","6","true","7","false","9500","true","true","David birthday. Meeting relatives and their Gastfreundschaft, cake. Playing games wit them. Tomorrow see jeelka again. Video game stones hard much fun."
"2024-12-30","a41f22a9-1bab-4495-bc82-949f217439ab","6","true","7.5","false","6000","true","true","Smile - to myself
I have so many awesome people that support me, especially jeelka and my mother.
It feels great and I am very thankful to be so welcomed in Jeelka’s home and by her parents.
Cats are nice"
"2024-12-28","e0e084c5-2308-4080-b217-90d5875fa312","8","false","8","true","18","true","true","Luca's Freunde kennenlernen und sich gut mit denen verstehen"
"2024-12-28","a41f22a9-1bab-4495-bc82-949f217439ab","7","false","8","false","11000","true","true","My birthday party, very nice. Enjoyed to meet everybody again.
Mama caring for me.
Cuddle jeelka.
Talk Dušan short but nice, reflectionevening short with jeelka on friends also nice."
"2024-12-29","e0e084c5-2308-4080-b217-90d5875fa312","6","true","8.5","true","33","true","false","Mit Luca als Ente aufm Badezimmerboden hocken
Reges Raclette"
"2024-12-29","a41f22a9-1bab-4495-bc82-949f217439ab","6","true","7.5","true","2000","true","false","I am grateful for jeelka helping and listing to me.
For my mother’s funny ideas and the birthday she organized at home. Her gifts, the thought she put into them.
Seeing Timi again, taking, exchanging.
I am grateful, that my mother loves me."
"2024-12-30","e0e084c5-2308-4080-b217-90d5875fa312","4","false","7","true","49","true","true","Schöner Spaziergang mit Luca, Familie wiedersehen"
"2024-12-31","e0e084c5-2308-4080-b217-90d5875fa312","8","false","10.5","false","24","true","true","Reflexionszeit - Chaos ordnen 
Silvester feiern mit Luca und coolen Leuten"
"2024-12-31","a41f22a9-1bab-4495-bc82-949f217439ab","7","true","7.5","false","23000","true","true","Jeelka lieb.
Silvester Party with jeelka friends. Pretty cool, fun. Enjoyed the welcoming atmosphere. Bit of deep talk."
"2025-01-01","e0e084c5-2308-4080-b217-90d5875fa312","4","true","6","true","24","true","false","Bastelzeit, Tee mit Familie"
"2025-01-01","a41f22a9-1bab-4495-bc82-949f217439ab","5","true","7.5","false","1500","true","false","1.!A needed day off. 
2. Got a small game and money from Jeelka’s grandma, enjoyed. Played game, fun.
3. Reflection in the evening with jeelka"
"2025-01-02","a41f22a9-1bab-4495-bc82-949f217439ab","6","true","8","false","7800","false","true","1. Had some time being bored
2. Playing hitster with Jeelka’s family
3.  Bath with jeelka
4.started out tired but got more energy throughout the day
5. Stocks go brrrrr"
"2025-01-02","e0e084c5-2308-4080-b217-90d5875fa312","5","true","7","true","46","true","false","Baden mit Luca, Produktivitätsreflexion, warmes Haus, keine Haushaltsaufgaben, Sonnenstrahlen"
"2025-01-03","e0e084c5-2308-4080-b217-90d5875fa312","7","true","9","true","38","true","false","Oma eine Freude machen können: Ihr Strahlen und ihre Zufriedenheit 
Im Café sitzen, reden und die Stimmung genießen 
Luca die alten Dias zeigen 
Mit Luca Rulleke backen, schreien und tanzen
Mehr Fokus beim Lernen, reflektieren können"
"2025-01-03","a41f22a9-1bab-4495-bc82-949f217439ab","6","null","9","null","5000","null","null","1. Great walk in the morning, went to supermarket and baker. Fresh morning air and the sun!
2. It snowed!
3. Ate cake and coffee with jeelka Jendrik and her Oma.
4. Pizza and ruleke, nice food"
"2025-01-04","e0e084c5-2308-4080-b217-90d5875fa312","5","false","9","true","25","true","false","Essen mit Familie, Speckendicken, Traditionen 
Eltern fahren uns nach Brücki 
Luca tröstet Heimweh, schönes Gespräch über Zeit, Familie, Altern"
