"Date","Time (h)","Time (decimal)","Amount (USD)"
"02/01/2025","04:47:10","4.79",""
"03/01/2025","01:39:38","1.66",""
"06/01/2025","06:28:40","6.48","29.21"
"07/01/2025","04:27:44","4.46","0.17"
"08/01/2025","04:23:11","4.39","18.65"
"09/01/2025","05:36:58","5.62",""
"10/01/2025","04:25:49","4.43",""
"11/01/2025","07:59:13","7.99","49.52"
"12/01/2025","02:51:46","2.86",""
"13/01/2025","07:33:38","7.56","1.07"
"14/01/2025","05:03:40","5.06",""
"15/01/2025","03:45:05","3.75","4.24"
"16/01/2025","05:18:37","5.31","29.95"
"17/01/2025","05:23:53","5.40",""
"18/01/2025","00:34:26","0.57",""
"20/01/2025","05:36:29","5.61","32.09"
"21/01/2025","05:19:31","5.33",""
"22/01/2025","04:18:58","4.32",""
"23/01/2025","07:00:00","7.00",""
"24/01/2025","05:00:00","5.00",""
"25/01/2025","06:53:19","6.89",""
"26/01/2025","04:26:14","4.44",""
"27/01/2025","08:25:07","8.42","11.69"
"28/01/2025","04:55:31","4.93",""
"29/01/2025","06:05:22","6.09",""
"30/01/2025","04:18:58","4.32",""
"31/01/2025","05:49:18","5.82",""
"01/02/2025","01:33:54","1.57",""
"02/02/2025","00:08:21","0.14",""
"03/02/2025","08:00:12","8.00",""
"04/02/2025","05:01:54","5.03",""
"05/02/2025","04:59:47","5.00",""
"06/02/2025","05:16:22","5.27",""
"07/02/2025","05:47:22","5.79",""
"08/02/2025","04:09:53","4.16",""
"09/02/2025","02:57:05","2.95",""
"10/02/2025","05:27:57","5.47","21.75"
"11/02/2025","04:06:32","4.11",""
"12/02/2025","03:20:39","3.34",""
"13/02/2025","00:31:50","0.53",""
"14/02/2025","01:15:23","1.26",""
"17/02/2025","05:38:31","5.64",""
"18/02/2025","04:16:33","4.28",""
"19/02/2025","03:59:42","4.00",""
"20/02/2025","06:42:36","6.71",""
"21/02/2025","02:58:51","2.98",""
"22/02/2025","02:23:58","2.40",""
"23/02/2025","01:41:44","1.70",""
"24/02/2025","01:40:53","1.68",""
"25/02/2025","05:00:07","5.00",""
"26/02/2025","04:11:17","4.19",""
"27/02/2025","05:20:25","5.34",""
"28/02/2025","02:00:00","2.00",""
"02/03/2025","00:09:01","0.15",""
"03/03/2025","02:50:37","2.84",""
"04/03/2025","02:33:43","2.56",""
"05/03/2025","01:26:43","1.45",""
"06/03/2025","04:49:54","4.83",""
"07/03/2025","02:26:59","2.45",""
"09/03/2025","01:27:36","1.46",""
"10/03/2025","00:45:14","0.75",""
"12/03/2025","01:46:22","1.77",""
"22/03/2025","03:49:50","3.83",""
"24/03/2025","01:13:42","1.23",""
"25/03/2025","00:30:31","0.51",""
"26/03/2025","01:05:33","1.09",""
"27/03/2025","01:05:29","1.09",""
"28/03/2025","00:33:02","0.55",""
"30/03/2025","01:08:35","1.14",""
"31/03/2025","07:45:24","7.76",""
"01/04/2025","04:09:02","4.15",""
"02/04/2025","03:09:58","3.17",""
"03/04/2025","00:46:32","0.78",""
